Iy;PF;e;dIf;If;sqrt_sum;squared_sum
3,0;0,66;0,34;0,38;1,56;2,437211521390788;35,28359999999999
3,0;0,68;0,32;0,37;1,55;2,4331050121192876;35,0464
3,0;0,7;0,3;0,36;1,54;2,4289915602982237;34,81
3,0;0,72;0,28;0,34;1,52;2,420743687382041;34,33959999999999
3,0;0,74;0,26;0,32;1,5;2,4124676163629637;33,872400000000006
3,0;0,76;0,24;0,3;1,48;2,4041630560342613;33,40839999999999
3,0;0,78;0,22;0,29;1,47;2,4;33,1776
3,0;0,8;0,2;0,28;1,46;2,3958297101421877;32,9476
3,0;0,82;0,18;0,25;1,43;2,3832750575625967;32,2624
3,0;0,84;0,16;0,22;1,4;2,3706539182259396;31,58439999999999
3,0;0,86;0,14;0,19;1,37;2,3579652245103193;30,913600000000006
3,0;0,88;0,12;0,17;1,34;2,3473389188611002;30,3601
3,0;0,9;0,1;0,14;1,32;2,3366642891095846;29,8116
3,0;0,92;0,08;0,1;1,28;2,3194827009486403;28,944399999999998
3,0;0,94;0,06;0,06;1,24;2,3021728866442674;28,09
3,0;0,96;0,04;0,04;1,22;2,293468988235943;27,667599999999997
3,0;0,98;0,02;0,04;1,22;2,293468988235943;27,667599999999997
3,0;1,0;0,0;0,04;1,22;2,293468988235943;27,667599999999997
3,1;0,66;0,34;0,4;1,58;2,4657656011875906;36,966400000000014
3,1;0,68;0,32;0,41;1,59;2,4698178070456938;37,21000000000001
3,1;0,7;0,3;0,44;1,62;2,4819347291981715;37,9456
3,1;0,72;0,28;0,37;1,55;2,4535688292770597;36,24040000000001
3,1;0,74;0,26;0,39;1,56;2,4596747752497685;36,602499999999985
3,1;0,76;0,24;0,31;1,49;2,4289915602982237;34,81
3,1;0,78;0,22;0,33;1,5;2,435159132377184;35,164899999999996
3,1;0,8;0,2;0,35;1,53;2,445403852127497;35,760400000000004
3,1;0,82;0,18;0,27;1,45;2,4124676163629637;33,87239999999999
3,1;0,84;0,16;0,28;1,46;2,4166091947189146;34,105599999999995
3,1;0,86;0,14;0,19;1,37;2,3790754506740637;32,0356
